pol_number,gender,agecat,credit_score,area,traffic_index,veh_age,veh_body,veh_value,person_age,numclaims,claimcst0
71936694,M,6,348,1,104.4166358,3,STNWG,1.386,72,2,0
41291469,F,4,757,5,21,2,SEDAN,1.98,54,0,0
48412152,M,4,768,1,94.2,1,STNWG,5.17,56,1,7041
73998281,F,3,622,3,112.5,4,HBACK,0.374,36,0,1653
14652848,F,3,639,1,118.9,3,STNWG,2.816,22,0,0
90216457,M,3,622,6,104.4166358,4,HDTOP,1.639,45,1,6732
64315874,F,3,691,1,80.1,1,TRUCK,1.881,56,0,344
33869489,F,2,645,4,75.3,4,HBACK,0.473,37,2,1073
43616099,F,2,690,3,138,4,STNWG,1.342,37,2,0
90779281,F,4,599,4,122.2,3,HBACK,1.012,54,0,412
10236775,F,2,321,3,103.5,3,SEDAN,1.078,33,2,0
34051323,M,5,702,2,139.1,4,HBACK,0.429,69,3,4674
16185235,F,5,779,1,53.6,2,SEDAN,1.584,63,0,0
35757583,F,1,619,4,98.9,1,UTE,3.487,22,1,7270
85960067,M,4,661,2,138.3,2,SEDAN,2.156,60,1,0
94226425,F,3,627,5,42,1,STNWG,4.378,51,1,0
39351703,F,2,616,6,64,3,STNWG,1.265,37,2,212
12578797,F,6,848,3,121.5,3,PANVN,3.146,80,1,730
76970092,F,3,750,4,43.9,3,HBACK,1.672,43,1,536
35975125,M,4,677,3,106.5,4,MCARA,0,60,1,52216
23123165,F,5,525,3,141,1,SEDAN,2.167,63,1,0
58210096,M,3,660,3,148.5,1,HBACK,1.8139,42,1,2663
59014266,F,4,625,6,180,4,STNWG,1.771,55,0,0
12191580,F,3,622,2,104.4166358,2,SEDAN,1.584,49,0,19472
55821723,F,4,766,2,128.4,1,HBACK,1.716,57,1,353
18031911,M,1,613,6,152,4,UTE,2.277,29,1,1508
36739187,F,5,833,3,144,3,SEDAN,1.045,63,0,0
69520000,F,2,599,6,114,3,STNWG,3.124,40,1,0
71684000,M,4,810,1,112.1,3,HBACK,0.924,53,0,0
10686736,F,4,633,2,104.4166358,3,SEDAN,1.408,53,1,0
34075602,F,4,646,2,138.3,1,HBACK,1.54,54,0,0
43896699,F,3,826,3,147,2,SEDAN,1.804,56,0,1765
41986508,M,2,661.3218455,3,148.5,4,STNWG,0.319,42,0,0
51434202,F,5,830,3,104.4166358,1,UTE,3.487,72,0,0
41006836,M,2,598,2,134.1,3,SEDAN,1.43,36,1,417
14237861,F,2,644,1,73.6,3,HBACK,0.847,33,2,0
65811133,M,2,675,4,151.6,2,UTE,3.3,34,1,711
53171375,M,5,748,1,79.4,4,HBACK,0.528,62,0,0
59884180,M,4,642,4,58.1,3,TRUCK,2.871,56,2,4342
16608758,M,4,758,3,124.5,3,HBACK,1.045,61,4,215
65057230,M,4,724,5,79.5,4,STNWG,1.397,55,0,0
64627626,F,3,647,3,123,3,SEDAN,1.32,61,0,0
19599794,F,4,669,1,97.9,2,SEDAN,1.617,53,0,0
33673043,M,3,649,1,40.6,4,STNWG,2.189,52,0,4095
32082052,F,5,780,2,90.1,1,HBACK,1.43,68,0,4240
59745021,F,3,757,2,134.6,3,HBACK,0.869,68,2,543
69480540,F,3,650,2,119.6,3,SEDAN,1.265,48,0,2930
12670434,M,4,598,2,110,4,HBACK,1.166,61,1,269
38611131,F,4,547,1,93.7,4,STNWG,0.451,60,1,0
50577468,F,2,552,4,99.3,1,UTE,3.718,39,3,12702
90350655,F,4,623,1,96.2,2,HBACK,1.914,58,0,0
89430114,M,3,609,4,120.6,4,TRUCK,1.694,58,2,0
32837276,M,6,796,6,92,1,UTE,5.214,87,2,1624
67174664,F,5,713,1,106.4,4,SEDAN,1.045,65,0,0
69514106,M,5,752,4,77.5,3,STNWG,2.717,63,1,2747
59260492,F,3,662,3,132,4,SEDAN,1.32,46,0,0
77327513,M,5,645,1,93.5,3,HDTOP,2.915,64,0,0
83252408,F,6,632,1,41.5,4,HBACK,0.495,77,1,0
95132005,F,6,834,3,135,4,SEDAN,0.319,77,1,0
83277971,F,4,775,6,98,4,HDTOP,1.298,52,0,0
75852316,M,2,678,3,145.5,3,STNWG,2.519,37,2,0
80851724,M,2,600,2,104.4166358,3,HBACK,1.012,42,2,0
98000644,F,2,779,1,108.2,4,HBACK,1.122,40,0,0
21146079,M,2,689,3,124.5,2,SEDAN,1.892,38,0,3357
42760534,M,4,687,3,147,4,SEDAN,0.561,60,4,670
44005957,F,3,621,1,70.9,3,HBACK,1.628,45,0,0
74604156,M,3,611,5,10.5,3,STNWG,2.277,46,2,2099
18105630,M,3,651,3,133.5,4,HBACK,0.55,52,0,1581
24270334,M,3,589,3,145.5,4,SEDAN,1.001,51,1,0
89392990,F,2,661.3218455,1,56.2,2,SEDAN,1.441,36,0,0
79143286,M,2,661.3218455,3,124.5,3,SEDAN,2.299,32,0,0
93993672,F,6,743,3,121.5,2,SEDAN,1.551,76,0,0
36334591,M,4,315,2,138.2,4,HBACK,0.792,58,2,0
64190691,F,5,804,1,86.6,4,SEDAN,1.045,68,0,0
98110025,F,4,738,4,119.2,3,STNWG,2.112,57,0,0
46425230,F,6,764,2,118.7,3,SEDAN,1.771,74,0,27979
11285331,M,2,556,2,104.4166358,4,HBACK,1.232,40,0,1604
38223180,F,4,666,2,133,2,SEDAN,1.43,54,0,0
69422156,M,5,731,6,94,4,UTE,0.429,71,0,0
61764828,F,1,670,2,107.8,1,HBACK,1.4839,29,0,0
21170015,F,5,811,4,102.5,4,SEDAN,0.847,63,0,0
33819494,M,3,845,3,84,2,SEDAN,1.936,48,0,0
47828837,F,2,481,1,59.6,4,STNWG,1.243,39,0,0
55103679,M,4,832,1,51,2,MCARA,4.84,61,0,0
24003539,M,2,661.3218455,1,87.3,3,SEDAN,1.089,40,3,1722
18210643,M,3,618,3,139.5,1,UTE,2.013,50,3,10002
30781766,F,3,658,3,104.4166358,2,HBACK,1.936,52,1,4309
99971161,M,2,692,1,96.3,3,STNWG,2.112,37,0,685
42507969,F,6,346,4,125.5,4,SEDAN,0.407,91,2,513
83640767,F,3,799,6,100,4,SEDAN,0.88,49,0,0
79288261,F,4,717,3,145.5,3,SEDAN,1.496,52,0,0
26095855,M,5,833,3,141,1,SEDAN,1.771,64,0,391
41203703,F,5,805,3,123,1,STNWG,6.237,67,2,1798
16858645,F,5,702,1,77.8,4,SEDAN,1.276,67,0,0
94576503,F,2,767,3,97.5,4,SEDAN,0.484,33,1,0
78915596,F,3,673,3,52.5,4,SEDAN,0.495,45,0,0
44129165,M,2,631,2,106.2,2,HBACK,1.133,39,1,1249
91110117,M,2,690,1,98.1,3,UTE,2.464,42,0,0
33394584,F,4,726,5,54,1,HBACK,1.617,54,2,0
38420560,F,5,721,1,76.4,2,SEDAN,1.617,69,0,0
77536528,F,3,330,2,161.9,3,HBACK,1.012,51,0,0
80203777,M,1,602,4,117.3,1,STNWG,3.2989,26,2,2408
54812284,F,3,632,5,81,3,STNWG,3.014,44,1,0
42006776,F,5,646,3,145.5,4,STNWG,1.309,63,0,0
69735179,F,3,776,2,138,3,HBACK,1.463,48,0,0
37149905,F,4,768,1,66.4,3,STNWG,2.299,61,0,0
84795418,M,5,699,3,129,1,SEDAN,1.716,71,1,0
29806914,M,5,835,1,43.5,4,STNWG,1.309,69,0,286
56277435,F,2,644,1,90.5,2,SEDAN,2.673,34,1,12651
33409758,M,5,606,3,118.5,2,SEDAN,2.178,70,1,0
30028000,F,2,661.3218455,3,127.5,2,STNWG,5.093,38,0,329
13274247,F,5,785,3,126,1,SEDAN,2.684,66,0,0
71116714,M,3,633,2,102.9,4,SEDAN,0.418,44,0,252
52922447,F,6,776,5,25.5,2,SEDAN,2.222,85,0,22934
95321216,M,4,593,4,113.5,2,UTE,3.663,58,3,296
86407633,F,4,603,2,89.6,4,HBACK,0.902,55,2,0
68390251,M,3,601,1,104.4166358,4,STNWG,1.276,48,2,0
16962903,F,2,583,2,127.1,4,STNWG,1.001,40,3,1802
83619269,M,3,692,3,129,2,STNWG,3.894,43,1,1403
59665064,F,4,702,5,43.5,1,HBACK,1.7358,54,2,3842
12951965,M,3,679,2,102.7,4,HDTOP,1.573,43,0,2098
18811285,F,4,747,2,148.9,2,SEDAN,1.452,53,1,0
28433685,F,5,736,3,126,2,STNWG,2.794,67,0,0
58771656,F,4,683,2,124.2,4,UTE,0.77,54,0,0
58393152,F,2,430,4,110.7,4,SEDAN,0.605,40,2,1736
26288441,F,5,807,2,137.3,3,HBACK,1.342,63,0,0
88728930,M,3,817,1,111.6,3,SEDAN,0.891,50,0,10014
29980036,M,6,807,1,112.3,4,SEDAN,0.594,79,1,3138
55147870,M,5,667,1,89.2,1,HBACK,2.046,64,0,0
99683260,F,3,735,3,133.5,3,SEDAN,1.21,47,0,0
39686799,F,1,503,6,122,2,SEDAN,2.706,22,2,0
68434583,F,2,651,1,53.3,4,STNWG,1.232,41,1,266
15537606,M,4,788,1,82.7,2,HBACK,1.771,56,0,744
17590295,M,3,713,1,103,4,STNWG,0.66,45,0,831
86844624,F,5,564,5,52.5,4,HBACK,0.484,72,0,0
16255659,F,3,774,3,126,3,HBACK,1.584,46,1,833
26800252,M,2,609,4,132.9,4,HDTOP,1.716,42,1,2621
